Year,State,Count
2007-01-01,Alabama,23794
2007-01-01,Alaska,7124
2007-01-01,Arizona,64192
2007-01-01,Arkansas,17048
2007-01-01,California,636626
2007-01-01,Colorado,61000
2007-01-01,Connecticut,19974
2007-01-01,Delaware,4544
2007-01-01,District of Columbia,24800
2007-01-01,Florida,207202
2007-01-01,Georgia,83524
2007-01-01,Hawaii,25836
2007-01-01,Idaho,7186
2007-01-01,Illinois,67310
2007-01-01,Indiana,30820
2007-01-01,Iowa,11550
2007-01-01,Kansas,7968
2007-01-01,Kentucky,33392
2007-01-01,Louisiana,23100
2007-01-01,Maine,10746
2007-01-01,Maryland,41612
2007-01-01,Massachusetts,66088
2007-01-01,Michigan,118612
2007-01-01,Minnesota,32120
2007-01-01,Mississippi,6694
2007-01-01,Missouri,28224
2007-01-01,Montana,4766
2007-01-01,Nebraska,15694
2007-01-01,Nevada,36310
2007-01-01,New Hampshire,9726
2007-01-01,New Jersey,74306
2007-01-01,New Mexico,13482
2007-01-01,New York,263356
2007-01-01,North Carolina,50498
2007-01-01,North Dakota,2704
2007-01-01,Ohio,49672
2007-01-01,Oklahoma,18442
2007-01-01,Oregon,76018
2007-01-01,Pennsylvania,68058
2007-01-01,Rhode Island,5756
2007-01-01,South Carolina,23786
2007-01-01,South Dakota,2524
2007-01-01,Tennessee,50374
2007-01-01,Texas,175014
2007-01-01,Utah,13646
2007-01-01,Vermont,4522
2007-01-01,Virgin Islands,3210
2007-01-01,Virginia,42910
2007-01-01,Washington,98722
2007-01-01,West Virginia,11938
2007-01-01,Wisconsin,23970
2007-01-01,Wyoming,2224
2008-01-01,Alabama,23652
2008-01-01,Alaska,7462
2008-01-01,Arizona,56146
2008-01-01,Arkansas,14806
2008-01-01,California,626632
2008-01-01,Colorado,61152
2008-01-01,Connecticut,20258
2008-01-01,Delaware,4228
2008-01-01,District of Columbia,28544
2008-01-01,Florida,217788
2008-01-01,Georgia,81722
2008-01-01,Hawaii,25800
2008-01-01,Idaho,5948
2008-01-01,Illinois,64010
2008-01-01,Indiana,30972
2008-01-01,Iowa,13938
2008-01-01,Kansas,6596
2008-01-01,Kentucky,33832
2008-01-01,Louisiana,23150
2008-01-01,Maine,10792
2008-01-01,Maryland,39854
2008-01-01,Massachusetts,62728
2008-01-01,Michigan,118534
2008-01-01,Minnesota,33650
2008-01-01,Mississippi,9598
2008-01-01,Missouri,33910
2008-01-01,Montana,5944
2008-01-01,Nebraska,17354
2008-01-01,Nevada,36812
2008-01-01,New Hampshire,8950
2008-01-01,New Jersey,57866
2008-01-01,New Mexico,13482
2008-01-01,New York,254678
2008-01-01,North Carolina,53298
2008-01-01,North Dakota,2562
2008-01-01,Ohio,56152
2008-01-01,Oklahoma,16506
2008-01-01,Oregon,89304
2008-01-01,Pennsylvania,64756
2008-01-01,Rhode Island,5274
2008-01-01,South Carolina,24126
2008-01-01,South Dakota,2524
2008-01-01,Tennessee,45548
2008-01-01,Texas,178448
2008-01-01,Utah,15140
2008-01-01,Vermont,4284
2008-01-01,Virgin Islands,3434
2008-01-01,Virginia,37232
2008-01-01,Washington,93962
2008-01-01,West Virginia,8838
2008-01-01,Wisconsin,23170
2008-01-01,Wyoming,3138
2009-01-01,Alabama,26698
2009-01-01,Alaska,8614
2009-01-01,Arizona,63342
2009-01-01,Arkansas,12220
2009-01-01,California,557536
2009-01-01,Colorado,63644
2009-01-01,Connecticut,20068
2009-01-01,Delaware,4854
2009-01-01,District of Columbia,28758
2009-01-01,Florida,240520
2009-01-01,Georgia,88982
2009-01-01,Hawaii,24672
2009-01-01,Idaho,8176
2009-01-01,Illinois,60644
2009-01-01,Indiana,29466
2009-01-01,Iowa,14132
2009-01-01,Kansas,7070
2009-01-01,Kentucky,25338
2009-01-01,Louisiana,59646
2009-01-01,Maine,10148
2009-01-01,Maryland,50916
2009-01-01,Massachusetts,65802
2009-01-01,Michigan,59318
2009-01-01,Minnesota,33770
2009-01-01,Mississippi,12232
2009-01-01,Missouri,30594
2009-01-01,Montana,5104
2009-01-01,Nebraska,15862
2009-01-01,Nevada,46950
2009-01-01,New Hampshire,7240
2009-01-01,New Jersey,54544
2009-01-01,New Mexico,15458
2009-01-01,New York,252828
2009-01-01,North Carolina,54652
2009-01-01,North Dakota,3232
2009-01-01,Ohio,55406
2009-01-01,Oklahoma,20660
2009-01-01,Oregon,74920
2009-01-01,Pennsylvania,63980
2009-01-01,Rhode Island,6868
2009-01-01,South Carolina,19240
2009-01-01,South Dakota,3142
2009-01-01,Tennessee,47392
2009-01-01,Texas,159084
2009-01-01,Utah,16580
2009-01-01,Vermont,5124
2009-01-01,Virgin Islands,2622
2009-01-01,Virginia,38650
2009-01-01,Washington,96346
2009-01-01,West Virginia,7342
2009-01-01,Wisconsin,27532
2009-01-01,Wyoming,2218
2010-01-01,Alabama,26270
2010-01-01,Alaska,7780
2010-01-01,Arizona,58714
2010-01-01,Arkansas,11838
2010-01-01,California,556390
2010-01-01,Colorado,64792
2010-01-01,Connecticut,18818
2010-01-01,Delaware,4122
2010-01-01,District of Columbia,30376
2010-01-01,Florida,248668
2010-01-01,Georgia,86614
2010-01-01,Hawaii,24938
2010-01-01,Idaho,9606
2010-01-01,Illinois,61840
2010-01-01,Indiana,27358
2010-01-01,Iowa,12554
2010-01-01,Kansas,7562
2010-01-01,Kentucky,27882
2010-01-01,Louisiana,59558
2010-01-01,Maine,9968
2010-01-01,Maryland,47738
2010-01-01,Massachusetts,70598
2010-01-01,Michigan,55880
2010-01-01,Minnesota,34456
2010-01-01,Mississippi,11686
2010-01-01,Missouri,35978
2010-01-01,Montana,6750
2010-01-01,Nebraska,16578
2010-01-01,Nevada,47650
2010-01-01,New Hampshire,6948
2010-01-01,New Jersey,56702
2010-01-01,New Mexico,15458
2010-01-01,New York,270942
2010-01-01,North Carolina,51722
2010-01-01,North Dakota,3324
2010-01-01,Ohio,54756
2010-01-01,Oklahoma,22156
2010-01-01,Oregon,83170
2010-01-01,Pennsylvania,61112
2010-01-01,Rhode Island,5300
2010-01-01,South Carolina,19240
2010-01-01,South Dakota,3142
2010-01-01,Tennessee,46094
2010-01-01,Texas,153508
2010-01-01,Utah,13948
2010-01-01,Vermont,5146
2010-01-01,Virgin Islands,2718
2010-01-01,Virginia,39340
2010-01-01,Washington,95724
2010-01-01,West Virginia,10088
2010-01-01,Wisconsin,26786
2010-01-01,Wyoming,2518
2011-01-01,Alabama,28006
2011-01-01,Alaska,10100
2011-01-01,Arizona,54204
2011-01-01,Arkansas,16946
2011-01-01,California,672434
2011-01-01,Colorado,70592
2011-01-01,Connecticut,23106
2011-01-01,Delaware,4530
2011-01-01,District of Columbia,37250
2011-01-01,Florida,284588
2011-01-01,Georgia,106710
2011-01-01,Hawaii,29502
2011-01-01,Idaho,10528
2011-01-01,Illinois,68450
2011-01-01,Indiana,28620
2011-01-01,Iowa,14474
2011-01-01,Kansas,11158
2011-01-01,Kentucky,28544
2011-01-01,Louisiana,56796
2011-01-01,Maine,10890
2011-01-01,Maryland,49424
2011-01-01,Massachusetts,77436
2011-01-01,Michigan,61714
2011-01-01,Minnesota,38326
2011-01-01,Mississippi,11518
2011-01-01,Missouri,44338
2011-01-01,Montana,8870
2011-01-01,Nebraska,16820
2011-01-01,Nevada,44492
2011-01-01,New Hampshire,7032
2011-01-01,New Jersey,61990
2011-01-01,New Mexico,19600
2011-01-01,New York,282142
2011-01-01,North Carolina,59984
2011-01-01,North Dakota,2960
2011-01-01,Ohio,62734
2011-01-01,Oklahoma,22384
2011-01-01,Oregon,86920
2011-01-01,Pennsylvania,70044
2011-01-01,Rhode Island,5230
2011-01-01,South Carolina,24176
2011-01-01,South Dakota,3658
2011-01-01,Tennessee,45410
2011-01-01,Texas,190318
2011-01-01,Utah,14742
2011-01-01,Vermont,5194
2011-01-01,Virgin Islands,2972
2011-01-01,Virginia,43698
2011-01-01,Washington,94264
2011-01-01,West Virginia,10644
2011-01-01,Wisconsin,26342
2011-01-01,Wyoming,4734
2012-01-01,Alabama,25764
2012-01-01,Alaska,9280
2012-01-01,Arizona,55744
2012-01-01,Arkansas,19328
2012-01-01,California,643038
2012-01-01,Colorado,77868
2012-01-01,Connecticut,21276
2012-01-01,Delaware,4564
2012-01-01,District of Columbia,38138
2012-01-01,Florida,271558
2012-01-01,Georgia,102030
2012-01-01,Hawaii,29794
2012-01-01,Idaho,9400
2012-01-01,Illinois,67694
2012-01-01,Indiana,28590
2012-01-01,Iowa,13374
2012-01-01,Kansas,11786
2012-01-01,Kentucky,24316
2012-01-01,Louisiana,44458
2012-01-01,Maine,10736
2012-01-01,Maryland,44678
2012-01-01,Massachusetts,80586
2012-01-01,Michigan,57882
2012-01-01,Minnesota,38466
2012-01-01,Mississippi,12144
2012-01-01,Missouri,50454
2012-01-01,Montana,9530
2012-01-01,Nebraska,17658
2012-01-01,Nevada,43346
2012-01-01,New Hampshire,7334
2012-01-01,New Jersey,57388
2012-01-01,New Mexico,17958
2012-01-01,New York,307774
2012-01-01,North Carolina,63406
2012-01-01,North Dakota,3416
2012-01-01,Ohio,66324
2012-01-01,Oklahoma,23212
2012-01-01,Oregon,79232
2012-01-01,Pennsylvania,70280
2012-01-01,Rhode Island,5916
2012-01-01,South Carolina,22858
2012-01-01,South Dakota,4236
2012-01-01,Tennessee,49338
2012-01-01,Texas,171536
2012-01-01,Utah,16540
2012-01-01,Vermont,5770
2012-01-01,Virgin Islands,2774
2012-01-01,Virginia,42042
2012-01-01,Washington,93818
2012-01-01,West Virginia,11816
2012-01-01,Wisconsin,27134
2012-01-01,Wyoming,9682
2013-01-01,Alabama,23210
2013-01-01,Alaska,8940
2013-01-01,Arizona,49444
2013-01-01,Arkansas,18580
2013-01-01,California,632446
2013-01-01,Colorado,47506
2013-01-01,Connecticut,22658
2013-01-01,Delaware,4246
2013-01-01,District of Columbia,36566
2013-01-01,Florida,241046
2013-01-01,Georgia,83822
2013-01-01,Hawaii,31176
2013-01-01,Idaho,8624
2013-01-01,Illinois,62530
2013-01-01,Indiana,28190
2013-01-01,Iowa,14102
2013-01-01,Kansas,11256
2013-01-01,Kentucky,24358
2013-01-01,Louisiana,26514
2013-01-01,Maine,13096
2013-01-01,Maryland,40086
2013-01-01,Massachusetts,87082
2013-01-01,Michigan,52732
2013-01-01,Minnesota,38954
2013-01-01,Mississippi,11932
2013-01-01,Missouri,41926
2013-01-01,Montana,9038
2013-01-01,Nebraska,14602
2013-01-01,Nevada,32632
2013-01-01,New Hampshire,7058
2013-01-01,New Jersey,54036
2013-01-01,New Mexico,13862
2013-01-01,New York,344306
2013-01-01,North Carolina,58286
2013-01-01,North Dakota,9474
2013-01-01,Ohio,58736
2013-01-01,Oklahoma,21382
2013-01-01,Oregon,70448
2013-01-01,Pennsylvania,69992
2013-01-01,Rhode Island,6734
2013-01-01,South Carolina,29380
2013-01-01,South Dakota,5494
2013-01-01,Tennessee,48970
2013-01-01,Texas,148356
2013-01-01,Utah,15578
2013-01-01,Vermont,6940
2013-01-01,Virgin Islands,2342
2013-01-01,Virginia,37362
2013-01-01,Washington,82460
2013-01-01,West Virginia,11346
2013-01-01,Wisconsin,27604
2013-01-01,Wyoming,5062
2014-01-01,Alabama,22244
2014-01-01,Alaska,8316
2014-01-01,Arizona,47532
2014-01-01,Arkansas,14542
2014-01-01,California,604312
2014-01-01,Colorado,48102
2014-01-01,Connecticut,23250
2014-01-01,Delaware,4154
2014-01-01,District of Columbia,39920
2014-01-01,Florida,207228
2014-01-01,Georgia,80986
2014-01-01,Hawaii,34062
2014-01-01,Idaho,9822
2014-01-01,Illinois,60848
2014-01-01,Indiana,27718
2014-01-01,Iowa,13868
2014-01-01,Kansas,11836
2014-01-01,Kentucky,24464
2014-01-01,Louisiana,22402
2014-01-01,Maine,12184
2014-01-01,Maryland,39692
2014-01-01,Massachusetts,100720
2014-01-01,Michigan,56324
2014-01-01,Minnesota,39082
2014-01-01,Mississippi,10590
2014-01-01,Missouri,35782
2014-01-01,Montana,8572
2014-01-01,Nebraska,14290
2014-01-01,Nevada,39220
2014-01-01,New Hampshire,7198
2014-01-01,New Jersey,53540
2014-01-01,New Mexico,14456
2014-01-01,New York,356292
2014-01-01,North Carolina,54016
2014-01-01,North Dakota,5794
2014-01-01,Ohio,55688
2014-01-01,Oklahoma,20264
2014-01-01,Oregon,62020
2014-01-01,Pennsylvania,70582
2014-01-01,Rhode Island,5792
2014-01-01,South Carolina,22726
2014-01-01,South Dakota,4276
2014-01-01,Tennessee,48724
2014-01-01,Texas,141080
2014-01-01,Utah,14646
2014-01-01,Vermont,7608
2014-01-01,Virgin Islands,2208
2014-01-01,Virginia,33404
2014-01-01,Washington,86774
2014-01-01,West Virginia,10646
2014-01-01,Wisconsin,27356
2014-01-01,Wyoming,3836
2015-01-01,Alabama,20338
2015-01-01,Alaska,9806
2015-01-01,Arizona,51024
2015-01-01,Arkansas,14524
2015-01-01,California,661882
2015-01-01,Colorado,52620
2015-01-01,Connecticut,19882
2015-01-01,Delaware,4684
2015-01-01,District of Columbia,40520
2015-01-01,Florida,189254
2015-01-01,Georgia,69504
2015-01-01,Hawaii,39778
2015-01-01,Idaho,10008
2015-01-01,Illinois,68584
2015-01-01,Indiana,30046
2015-01-01,Iowa,15328
2015-01-01,Kansas,11740
2015-01-01,Kentucky,22652
2015-01-01,Louisiana,22210
2015-01-01,Maine,11600
2015-01-01,Maryland,45286
2015-01-01,Massachusetts,104206
2015-01-01,Michigan,53686
2015-01-01,Minnesota,41144
2015-01-01,Mississippi,9766
2015-01-01,Missouri,35066
2015-01-01,Montana,9012
2015-01-01,Nebraska,14036
2015-01-01,Nevada,48648
2015-01-01,New Hampshire,7908
2015-01-01,New Jersey,52456
2015-01-01,New Mexico,14944
2015-01-01,New York,412672
2015-01-01,North Carolina,53682
2015-01-01,North Dakota,6692
2015-01-01,Ohio,56932
2015-01-01,Oklahoma,20358
2015-01-01,Oregon,78126
2015-01-01,Pennsylvania,78154
2015-01-01,Rhode Island,5594
2015-01-01,South Carolina,28080
2015-01-01,South Dakota,5498
2015-01-01,Tennessee,48122
2015-01-01,Texas,123526
2015-01-01,Utah,14450
2015-01-01,Vermont,7604
2015-01-01,Virgin Islands,1552
2015-01-01,Virginia,36054
2015-01-01,Washington,97496
2015-01-01,West Virginia,10224
2015-01-01,Wisconsin,29836
2015-01-01,Wyoming,4060
2016-01-01,Alabama,20100
2016-01-01,Alaska,9332
2016-01-01,Arizona,49880
2016-01-01,Arkansas,13190
2016-01-01,California,668516
2016-01-01,Colorado,55552
2016-01-01,Connecticut,18814
2016-01-01,Delaware,5074
2016-01-01,District of Columbia,44816
2016-01-01,Florida,174246
2016-01-01,Georgia,64516
2016-01-01,Hawaii,42594
2016-01-01,Idaho,11644
2016-01-01,Illinois,57524
2016-01-01,Indiana,28980
2016-01-01,Iowa,14774
2016-01-01,Kansas,10008
2016-01-01,Kentucky,20890
2016-01-01,Louisiana,21046
2016-01-01,Maine,11044
2016-01-01,Maryland,39480
2016-01-01,Massachusetts,94740
2016-01-01,Michigan,46678
2016-01-01,Minnesota,38104
2016-01-01,Mississippi,8414
2016-01-01,Missouri,35318
2016-01-01,Montana,7082
2016-01-01,Nebraska,13562
2016-01-01,Nevada,39590
2016-01-01,New Hampshire,7404
2016-01-01,New Jersey,43862
2016-01-01,New Mexico,12930
2016-01-01,New York,398450
2016-01-01,North Carolina,47676
2016-01-01,North Dakota,4788
2016-01-01,Ohio,50656
2016-01-01,Oklahoma,21908
2016-01-01,Oregon,75044
2016-01-01,Pennsylvania,76154
2016-01-01,Rhode Island,5796
2016-01-01,South Carolina,27040
2016-01-01,South Dakota,5138
2016-01-01,Tennessee,46292
2016-01-01,Texas,118182
2016-01-01,Utah,13386
2016-01-01,Vermont,5762
2016-01-01,Virgin Islands,1564
2016-01-01,Virginia,31262
2016-01-01,Washington,103862
2016-01-01,West Virginia,7020
2016-01-01,Wisconsin,27656
2016-01-01,Wyoming,4184
